Date : 2026-07-16 13:32:32
Directory : d:\HDSP_HYBRID\frontend
Total : 142 files,  68096 codes, 1841 comments, 3338 blanks, all 73275 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\HDSP_HYBRID\frontend\src\app\dev\canvas-sandbox\page.tsx                          | TypeScript JSX     |         30 |         19 |          6 |         55 |
| d:\HDSP_HYBRID\frontend\src\app\dev\form-designer-sandbox\page.tsx                   | TypeScript JSX     |        113 |         19 |         16 |        148 |
| d:\HDSP_HYBRID\frontend\src\app\display\[slug]\layout.tsx                            | TypeScript JSX     |          8 |          4 |          2 |         14 |
| d:\HDSP_HYBRID\frontend\src\app\display\[slug]\page.tsx                              | TypeScript JSX     |        253 |         21 |         35 |        309 |
| d:\HDSP_HYBRID\frontend\src\app\feedback\f\[token]\page.tsx                          | TypeScript JSX     |        593 |         71 |         63 |        727 |
| d:\HDSP_HYBRID\frontend\src\app\kiosk\[slug]\page.tsx                                | TypeScript JSX     |        541 |         70 |         53 |        664 |
| d:\HDSP_HYBRID\frontend\src\app\kiosk\layout.tsx                                     | TypeScript JSX     |          8 |          0 |          2 |         10 |
| d:\HDSP_HYBRID\frontend\src\app\layout.tsx                                           | TypeScript JSX     |         39 |          0 |          4 |         43 |
| d:\HDSP_HYBRID\frontend\src\app\page.tsx                                             | TypeScript JSX     |          4 |          4 |          2 |         10 |
| d:\HDSP_HYBRID\frontend\src\app\token\display-config\page.tsx                        | TypeScript JSX     |        937 |         44 |         71 |      1,052 |
| d:\HDSP_HYBRID\frontend\src\app\token\display-config\renderer.tsx                    | TypeScript JSX     |        263 |          0 |         19 |        282 |
| d:\HDSP_HYBRID\frontend\src\app\token\display-config\types.ts                        | TypeScript         |        123 |          8 |          9 |        140 |
| d:\HDSP_HYBRID\frontend\src\app\token\display-pages\page.tsx                         | TypeScript JSX     |        305 |         20 |         33 |        358 |
| d:\HDSP_HYBRID\frontend\src\app\token\display\layout.tsx                             | TypeScript JSX     |          8 |          5 |          2 |         15 |
| d:\HDSP_HYBRID\frontend\src\app\token\display\page.tsx                               | TypeScript JSX     |        274 |         36 |         37 |        347 |
| d:\HDSP_HYBRID\frontend\src\app\token\kiosk\[code]\page.tsx                          | TypeScript JSX     |        349 |         18 |         39 |        406 |
| d:\HDSP_HYBRID\frontend\src\app\token\kiosk\layout.tsx                               | TypeScript JSX     |          8 |          0 |          2 |         10 |
| d:\HDSP_HYBRID\frontend\src\app\token\print-kiosk\layout.tsx                         | TypeScript JSX     |          8 |          0 |          2 |         10 |
| d:\HDSP_HYBRID\frontend\src\app\token\print-kiosk\page.tsx                           | TypeScript JSX     |        423 |         22 |         55 |        500 |
| d:\HDSP_HYBRID\frontend\src\components\EmptyState.tsx                                | TypeScript JSX     |         43 |          0 |          3 |         46 |
| d:\HDSP_HYBRID\frontend\src\components\LicenseBanner.tsx                             | TypeScript JSX     |         70 |          8 |         15 |         93 |
| d:\HDSP_HYBRID\frontend\src\components\PageHeader.tsx                                | TypeScript JSX     |        138 |          5 |         12 |        155 |
| d:\HDSP_HYBRID\frontend\src\components\PatientSearch.tsx                             | TypeScript JSX     |        147 |          1 |         12 |        160 |
| d:\HDSP_HYBRID\frontend\src\components\SectionCard.tsx                               | TypeScript JSX     |         41 |          1 |          3 |         45 |
| d:\HDSP_HYBRID\frontend\src\components\branch\BranchSelectModal.tsx                  | TypeScript JSX     |        115 |          9 |          9 |        133 |
| d:\HDSP_HYBRID\frontend\src\components\branch\BranchSwitcher.tsx                     | TypeScript JSX     |        165 |         13 |         14 |        192 |
| d:\HDSP_HYBRID\frontend\src\components\feedback\ImageCropDialog.tsx                  | TypeScript JSX     |        156 |         26 |         18 |        200 |
| d:\HDSP_HYBRID\frontend\src\components\forms-designer\DesignerCanvas.tsx             | TypeScript JSX     |         60 |          5 |          9 |         74 |
| d:\HDSP_HYBRID\frontend\src\components\forms-designer\DesignerLeftPanel.tsx          | TypeScript JSX     |         65 |          3 |         10 |         78 |
| d:\HDSP_HYBRID\frontend\src\components\forms-designer\DesignerRightPanel.tsx         | TypeScript JSX     |         73 |          2 |         11 |         86 |
| d:\HDSP_HYBRID\frontend\src\components\forms-designer\DesignerStatusBar.tsx          | TypeScript JSX     |         51 |          4 |          5 |         60 |
| d:\HDSP_HYBRID\frontend\src\components\forms-designer\DesignerToolbar.tsx            | TypeScript JSX     |        167 |          9 |         25 |        201 |
| d:\HDSP_HYBRID\frontend\src\components\vendor\VendorRegisterDialog.tsx               | TypeScript JSX     |        112 |          0 |          6 |        118 |
| d:\HDSP_HYBRID\frontend\src\lib\api\attendance-monitoring.api.ts                     | TypeScript         |         21 |          0 |          3 |         24 |
| d:\HDSP_HYBRID\frontend\src\lib\api\auth.api.ts                                      | TypeScript         |         86 |          1 |         17 |        104 |
| d:\HDSP_HYBRID\frontend\src\lib\api\branches.api.ts                                  | TypeScript         |         23 |          4 |          6 |         33 |
| d:\HDSP_HYBRID\frontend\src\lib\api\campaign.api.ts                                  | TypeScript         |         44 |          2 |         11 |         57 |
| d:\HDSP_HYBRID\frontend\src\lib\api\client.ts                                        | TypeScript         |         85 |          9 |         16 |        110 |
| d:\HDSP_HYBRID\frontend\src\lib\api\eic.api.ts                                       | TypeScript         |        516 |         20 |         89 |        625 |
| d:\HDSP_HYBRID\frontend\src\lib\api\his.api.ts                                       | TypeScript         |        138 |          2 |         20 |        160 |
