Date : 2026-07-16 13:33:02
Directory : d:\HDSP_HYBRID\vendor-portal
Total : 204 files,  -53705 codes, -1481 comments, -2467 blanks, all -57653 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| ..\frontend\src\app\(platform)\users                                                                      |          1 |       -728 |        -31 |        -44 |       -803 |
| ..\frontend\src\app\cms                                                                                   |         11 |       -873 |       -189 |       -138 |     -1,200 |
| ..\frontend\src\app\cms\player                                                                            |         11 |       -873 |       -189 |       -138 |     -1,200 |
| ..\frontend\src\app\cms\player\[slug]                                                                     |         11 |       -873 |       -189 |       -138 |     -1,200 |
| ..\frontend\src\app\cms\player\[slug] (Files)                                                             |          6 |       -612 |       -142 |        -96 |       -850 |
| ..\frontend\src\app\cms\player\[slug]\renderers                                                           |          5 |       -261 |        -47 |        -42 |       -350 |
| ..\frontend\src\app\dev                                                                                   |          2 |       -143 |        -38 |        -22 |       -203 |
| ..\frontend\src\app\dev\canvas-sandbox                                                                    |          1 |        -30 |        -19 |         -6 |        -55 |
| ..\frontend\src\app\dev\form-designer-sandbox                                                             |          1 |       -113 |        -19 |        -16 |       -148 |
| ..\frontend\src\app\display                                                                               |          2 |       -261 |        -25 |        -37 |       -323 |
| ..\frontend\src\app\display\[slug]                                                                        |          2 |       -261 |        -25 |        -37 |       -323 |
| ..\frontend\src\app\feedback                                                                              |          1 |       -593 |        -71 |        -63 |       -727 |
| ..\frontend\src\app\feedback\f                                                                            |          1 |       -593 |        -71 |        -63 |       -727 |
| ..\frontend\src\app\feedback\f\[token]                                                                    |          1 |       -593 |        -71 |        -63 |       -727 |
| ..\frontend\src\app\kiosk                                                                                 |          2 |       -549 |        -70 |        -55 |       -674 |
| ..\frontend\src\app\kiosk (Files)                                                                         |          1 |         -8 |          0 |         -2 |        -10 |
| ..\frontend\src\app\kiosk\[slug]                                                                          |          1 |       -541 |        -70 |        -53 |       -664 |
| ..\frontend\src\app\token                                                                                 |         10 |     -2,698 |       -153 |       -269 |     -3,120 |
| ..\frontend\src\app\token\display                                                                         |          2 |       -282 |        -41 |        -39 |       -362 |
| ..\frontend\src\app\token\display-config                                                                  |          3 |     -1,323 |        -52 |        -99 |     -1,474 |
| ..\frontend\src\app\token\display-pages                                                                   |          1 |       -305 |        -20 |        -33 |       -358 |
| ..\frontend\src\app\token\kiosk                                                                           |          2 |       -357 |        -18 |        -41 |       -416 |
| ..\frontend\src\app\token\kiosk (Files)                                                                   |          1 |         -8 |          0 |         -2 |        -10 |
| ..\frontend\src\app\token\kiosk\[code]                                                                    |          1 |       -349 |        -18 |        -39 |       -406 |
| ..\frontend\src\app\token\print-kiosk                                                                     |          2 |       -431 |        -22 |        -57 |       -510 |
| ..\frontend\src\components                                                                                |         14 |     -1,403 |        -86 |       -152 |     -1,641 |
| ..\frontend\src\components (Files)                                                                        |          5 |       -439 |        -15 |        -45 |       -499 |
| ..\frontend\src\components\branch                                                                         |          2 |       -280 |        -22 |        -23 |       -325 |
| ..\frontend\src\components\feedback                                                                       |          1 |       -156 |        -26 |        -18 |       -200 |
| ..\frontend\src\components\forms-designer                                                                 |          5 |       -416 |        -23 |        -60 |       -499 |
| ..\frontend\src\components\vendor                                                                         |          1 |       -112 |          0 |         -6 |       -118 |
| ..\frontend\src\lib                                                                                       |         19 |     -1,917 |       -230 |       -356 |     -2,503 |
| ..\frontend\src\lib (Files)                                                                               |          1 |        -17 |        -15 |         -1 |        -33 |
| ..\frontend\src\lib\api                                                                                   |         13 |     -1,365 |        -47 |       -247 |     -1,659 |
| ..\frontend\src\lib\audio                                                                                 |          1 |       -217 |       -107 |        -53 |       -377 |
| ..\frontend\src\lib\hooks                                                                                 |          3 |       -251 |        -51 |        -46 |       -348 |
| ..\frontend\src\lib\store                                                                                 |          1 |        -67 |        -10 |         -9 |        -86 |
| ..\frontend\src\providers                                                                                 |          5 |       -689 |        -70 |        -91 |       -850 |
| backend                                                                                                   |         35 |      7,998 |        232 |        456 |      8,686 |
| backend (Files)                                                                                           |          4 |      5,961 |          0 |          5 |      5,966 |
| backend\src                                                                                               |         31 |      2,037 |        232 |        451 |      2,720 |
| backend\src (Files)                                                                                       |          2 |         60 |          0 |          9 |         69 |
| backend\src\config                                                                                        |          1 |         23 |          0 |          3 |         26 |
| backend\src\database                                                                                      |          3 |         33 |          0 |         15 |         48 |
| backend\src\database\migrations                                                                           |          3 |         33 |          0 |         15 |         48 |
| backend\src\modules                                                                                       |         25 |      1,921 |        232 |        424 |      2,577 |
| backend\src\modules\auth                                                                                  |          7 |        212 |         24 |         44 |        280 |
| backend\src\modules\auth (Files)                                                                          |          3 |        145 |         22 |         25 |        192 |
| backend\src\modules\auth\decorators                                                                       |          1 |          3 |          0 |          1 |          4 |
| backend\src\modules\auth\entities                                                                         |          1 |         26 |          2 |         11 |         39 |
| backend\src\modules\auth\guards                                                                           |          1 |         19 |          0 |          4 |         23 |
| backend\src\modules\auth\strategies                                                                       |          1 |         19 |          0 |          3 |         22 |
| backend\src\modules\hospitals                                                                             |         13 |      1,346 |        204 |        313 |      1,863 |
| backend\src\modules\hospitals (Files)                                                                     |          4 |      1,036 |        163 |        189 |      1,388 |
| backend\src\modules\hospitals\entities                                                                    |          9 |        310 |         41 |        124 |        475 |
| backend\src\modules\signing                                                                               |          1 |         59 |          2 |         12 |         73 |
| backend\src\modules\vendor-gateway                                                                        |          3 |        239 |          2 |         45 |        286 |
| backend\src\modules\webhook                                                                               |          1 |         65 |          0 |         10 |         75 |
| frontend                                                                                                  |         25 |      6,249 |        128 |        375 |      6,752 |
| frontend (Files)                                                                                          |          6 |      1,904 |          5 |          8 |      1,917 |
| frontend\src                                                                                              |         19 |      4,345 |        123 |        367 |      4,835 |
| frontend\src\app                                                                                          |         17 |      4,099 |         99 |        304 |      4,502 |
| frontend\src\app (Files)                                                                                  |          2 |         36 |          0 |          6 |         42 |
| frontend\src\app\(vendor)                                                                                 |         12 |      3,750 |         98 |        263 |      4,111 |
| frontend\src\app\(vendor) (Files)                                                                         |          1 |        118 |          2 |         14 |        134 |
| frontend\src\app\(vendor)\history                                                                         |          1 |        159 |          0 |          8 |        167 |
| frontend\src\app\(vendor)\hospitals                                                                       |          6 |      2,763 |         75 |        190 |      3,028 |
| frontend\src\app\(vendor)\hospitals (Files)                                                               |          1 |        472 |         22 |         33 |        527 |
| frontend\src\app\(vendor)\hospitals\[id]                                                                  |          5 |      2,291 |         53 |        157 |      2,501 |
| frontend\src\app\(vendor)\hospitals\[id]\hdsp-users                                                       |          1 |        437 |         14 |         32 |        483 |
| frontend\src\app\(vendor)\hospitals\[id]\his-config                                                       |          1 |      1,168 |         36 |         73 |      1,277 |
| frontend\src\app\(vendor)\hospitals\[id]\security                                                         |          2 |        553 |          3 |         37 |        593 |
| frontend\src\app\(vendor)\hospitals\[id]\settings                                                         |          1 |        133 |          0 |         15 |        148 |
| frontend\src\app\(vendor)\licenses                                                                        |          1 |        125 |          0 |          9 |        134 |
| frontend\src\app\(vendor)\logs                                                                            |          1 |        147 |          0 |          7 |        154 |
| frontend\src\app\(vendor)\requests                                                                        |          2 |        438 |         21 |         35 |        494 |
| frontend\src\app\(vendor)\requests (Files)                                                                |          1 |        129 |          0 |          8 |        137 |
| frontend\src\app\(vendor)\requests\[id]                                                                   |          1 |        309 |         21 |         27 |        357 |
| frontend\src\app\forgot-password                                                                          |          1 |        119 |          1 |         13 |        133 |
| frontend\src\app\login                                                                                    |          1 |         71 |          0 |          8 |         79 |
| frontend\src\app\reset-password                                                                           |          1 |        123 |          0 |         14 |        137 |
| frontend\src\lib                                                                                          |          2 |        246 |         24 |         63 |        333 |
| frontend\src\lib\api                                                                                      |          2 |        246 |         24 |         63 |        333 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                  | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\HDSP_HYBRID\frontend\lib\dummy-module.js                                                               | JavaScript         |         -9 |         -1 |         -2 |        -12 |
| d:\HDSP_HYBRID\frontend\next-env.d.ts                                                                     | TypeScript         |          0 |         -4 |         -2 |         -6 |
| d:\HDSP_HYBRID\frontend\next.config.mjs                                                                   | JavaScript         |       -101 |        -18 |        -13 |       -132 |
| d:\HDSP_HYBRID\frontend\package-lock.json                                                                 | JSON               |     -7,999 |          0 |         -1 |     -8,000 |
| d:\HDSP_HYBRID\frontend\package.json                                                                      | JSON               |        -54 |          0 |         -1 |        -55 |
| d:\HDSP_HYBRID\frontend\public\logo-full.svg                                                              | XML                |    -15,787 |          0 |        -90 |    -15,877 |
| d:\HDSP_HYBRID\frontend\public\logo-icon.svg                                                              | XML                |    -11,196 |          0 |        -52 |    -11,248 |
| d:\HDSP_HYBRID\frontend\src\app\(auth)\change-password\page.tsx                                           | TypeScript JSX     |       -169 |          0 |        -15 |       -184 |
| d:\HDSP_HYBRID\frontend\src\app\(auth)\login\page.tsx                                                     | TypeScript JSX     |       -801 |        -55 |        -46 |       -902 |
