"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "Docker", "TypeScript JSX", "JSON", "YAML", "XML", "comment", "blank", "total"
"d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\renderers\registry.ts", "TypeScript", -22, 0, 0, 0, 0, 0, 0, 0, 0, -2, -7, -31
"d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\renderers\video.plugin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -26, 0, 0, 0, 0, -5, -31
"d:\HDSP_HYBRID\frontend\src\app\cms\player\[slug]\ticker-overlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -81, 0, 0, 0, -21, -13, -115
"d:\HDSP_HYBRID\frontend\src\app\dev\canvas-sandbox\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -30, 0, 0, 0, -19, -6, -55
"d:\HDSP_HYBRID\frontend\src\app\dev\form-designer-sandbox\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -113, 0, 0, 0, -19, -16, -148
"d:\HDSP_HYBRID\frontend\src\app\display\[slug]\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -8, 0, 0, 0, -4, -2, -14
"d:\HDSP_HYBRID\frontend\src\app\display\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -253, 0, 0, 0, -21, -35, -309
"d:\HDSP_HYBRID\frontend\src\app\feedback\f\[token]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -593, 0, 0, 0, -71, -63, -727
"d:\HDSP_HYBRID\frontend\src\app\kiosk\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -541, 0, 0, 0, -70, -53, -664
"d:\HDSP_HYBRID\frontend\src\app\kiosk\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, -2, -10
"d:\HDSP_HYBRID\frontend\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -39, 0, 0, 0, 0, -4, -43
"d:\HDSP_HYBRID\frontend\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -4, 0, 0, 0, -4, -2, -10
"d:\HDSP_HYBRID\frontend\src\app\token\display-config\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -937, 0, 0, 0, -44, -71, -1052
"d:\HDSP_HYBRID\frontend\src\app\token\display-config\renderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -263, 0, 0, 0, 0, -19, -282
"d:\HDSP_HYBRID\frontend\src\app\token\display-config\types.ts", "TypeScript", -123, 0, 0, 0, 0, 0, 0, 0, 0, -8, -9, -140
"d:\HDSP_HYBRID\frontend\src\app\token\display-pages\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -305, 0, 0, 0, -20, -33, -358
"d:\HDSP_HYBRID\frontend\src\app\token\display\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -8, 0, 0, 0, -5, -2, -15
"d:\HDSP_HYBRID\frontend\src\app\token\display\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -274, 0, 0, 0, -36, -37, -347
"d:\HDSP_HYBRID\frontend\src\app\token\kiosk\[code]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -349, 0, 0, 0, -18, -39, -406
"d:\HDSP_HYBRID\frontend\src\app\token\kiosk\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, -2, -10
"d:\HDSP_HYBRID\frontend\src\app\token\print-kiosk\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, -2, -10
"d:\HDSP_HYBRID\frontend\src\app\token\print-kiosk\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -423, 0, 0, 0, -22, -55, -500
"d:\HDSP_HYBRID\frontend\src\components\EmptyState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -43, 0, 0, 0, 0, -3, -46
"d:\HDSP_HYBRID\frontend\src\components\LicenseBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -70, 0, 0, 0, -8, -15, -93
"d:\HDSP_HYBRID\frontend\src\components\PageHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -138, 0, 0, 0, -5, -12, -155
"d:\HDSP_HYBRID\frontend\src\components\PatientSearch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -147, 0, 0, 0, -1, -12, -160
"d:\HDSP_HYBRID\frontend\src\components\SectionCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -41, 0, 0, 0, -1, -3, -45
"d:\HDSP_HYBRID\frontend\src\components\branch\BranchSelectModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -115, 0, 0, 0, -9, -9, -133
"d:\HDSP_HYBRID\frontend\src\components\branch\BranchSwitcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -165, 0, 0, 0, -13, -14, -192
"d:\HDSP_HYBRID\frontend\src\components\feedback\ImageCropDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -156, 0, 0, 0, -26, -18, -200
"d:\HDSP_HYBRID\frontend\src\components\forms-designer\DesignerCanvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -60, 0, 0, 0, -5, -9, -74
"d:\HDSP_HYBRID\frontend\src\components\forms-designer\DesignerLeftPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -65, 0, 0, 0, -3, -10, -78
"d:\HDSP_HYBRID\frontend\src\components\forms-designer\DesignerRightPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -73, 0, 0, 0, -2, -11, -86
"d:\HDSP_HYBRID\frontend\src\components\forms-designer\DesignerStatusBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -51, 0, 0, 0, -4, -5, -60
"d:\HDSP_HYBRID\frontend\src\components\forms-designer\DesignerToolbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -167, 0, 0, 0, -9, -25, -201
"d:\HDSP_HYBRID\frontend\src\components\vendor\VendorRegisterDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -112, 0, 0, 0, 0, -6, -118
"d:\HDSP_HYBRID\frontend\src\lib\api\attendance-monitoring.api.ts", "TypeScript", -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -24
"d:\HDSP_HYBRID\frontend\src\lib\api\auth.api.ts", "TypeScript", -86, 0, 0, 0, 0, 0, 0, 0, 0, -1, -17, -104
"d:\HDSP_HYBRID\frontend\src\lib\api\branches.api.ts", "TypeScript", -23, 0, 0, 0, 0, 0, 0, 0, 0, -4, -6, -33
"d:\HDSP_HYBRID\frontend\src\lib\api\campaign.api.ts", "TypeScript", -44, 0, 0, 0, 0, 0, 0, 0, 0, -2, -11, -57
"d:\HDSP_HYBRID\frontend\src\lib\api\client.ts", "TypeScript", -85, 0, 0, 0, 0, 0, 0, 0, 0, -9, -16, -110
"d:\HDSP_HYBRID\frontend\src\lib\api\eic.api.ts", "TypeScript", -516, 0, 0, 0, 0, 0, 0, 0, 0, -20, -89, -625
