"filename", "language", "TypeScript JSX", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "XML", "Markdown", "MS SQL", "comment", "blank", "total"
"d:\HDSP_HYBRID\backend\src\modules\document-platform\forms-runtime\execution-platform\plugin-hook.service.ts", "TypeScript", 0, 0, -24, 0, 0, 0, 0, 0, -10, -7, -41
"d:\HDSP_HYBRID\backend\src\modules\document-platform\forms-runtime\forms-runtime.controller.ts", "TypeScript", 0, 0, -99, 0, 0, 0, 0, 0, -50, -8, -157
"d:\HDSP_HYBRID\backend\src\modules\document-platform\forms-runtime\forms-runtime.module.ts", "TypeScript", 0, 0, -25, 0, 0, 0, 0, 0, -17, -2, -44
"d:\HDSP_HYBRID\backend\src\modules\document-platform\forms-runtime\forms-runtime.service.ts", "TypeScript", 0, 0, -57, 0, 0, 0, 0, 0, -31, -12, -100
"d:\HDSP_HYBRID\backend\src\modules\document-platform\forms-runtime\plugin-registry.service.ts", "TypeScript", 0, 0, -14, 0, 0, 0, 0, 0, -3, -4, -21
"d:\HDSP_HYBRID\backend\src\modules\document-platform\workflow-engine\__tests__\task-engine.service.spec.ts", "TypeScript", 0, 0, -72, 0, 0, 0, 0, 0, -4, -13, -89
"d:\HDSP_HYBRID\backend\src\modules\document-platform\workflow-engine\__tests__\workflow-engine.service.spec.ts", "TypeScript", 0, 0, -160, 0, 0, 0, 0, 0, -10, -18, -188
"d:\HDSP_HYBRID\backend\src\modules\document-platform\workflow-engine\controllers\workflow.controller.ts", "TypeScript", 0, 0, -33, 0, 0, 0, 0, 0, -2, -5, -40
"d:\HDSP_HYBRID\backend\src\modules\document-platform\workflow-engine\entities\workflow-instance.entity.ts", "TypeScript", 0, 0, -26, 0, 0, 0, 0, 0, 0, -12, -38
"d:\HDSP_HYBRID\backend\src\modules\document-platform\workflow-engine\entities\workflow-task.entity.ts", "TypeScript", 0, 0, -40, 0, 0, 0, 0, 0, -1, -19, -60
"d:\HDSP_HYBRID\backend\src\modules\document-platform\workflow-engine\entities\workflow-template.entity.ts", "TypeScript", 0, 0, -19, 0, 0, 0, 0, 0, 0, -8, -27
"d:\HDSP_HYBRID\backend\src\modules\document-platform\workflow-engine\listeners\workflow-notification.listener.ts", "TypeScript", 0, 0, -12, 0, 0, 0, 0, 0, -1, -3, -16
"d:\HDSP_HYBRID\backend\src\modules\document-platform\workflow-engine\models\workflow-definition.ts", "TypeScript", 0, 0, -29, 0, 0, 0, 0, 0, -5, -8, -42
"d:\HDSP_HYBRID\backend\src\modules\document-platform\workflow-engine\services\task-engine.service.ts", "TypeScript", 0, 0, -89, 0, 0, 0, 0, 0, -6, -19, -114
"d:\HDSP_HYBRID\backend\src\modules\document-platform\workflow-engine\services\workflow-data-source.provider.ts", "TypeScript", 0, 0, -37, 0, 0, 0, 0, 0, 0, -9, -46
"d:\HDSP_HYBRID\backend\src\modules\document-platform\workflow-engine\services\workflow-timeline.service.ts", "TypeScript", 0, 0, -91, 0, 0, 0, 0, 0, -4, -11, -106
"d:\HDSP_HYBRID\backend\src\modules\document-platform\workflow-engine\workflow-engine.module.ts", "TypeScript", 0, 0, -42, 0, 0, 0, 0, 0, -2, -3, -47
"d:\HDSP_HYBRID\backend\src\modules\document-platform\workflow-engine\workflow-engine.service.ts", "TypeScript", 0, 0, -121, 0, 0, 0, 0, 0, -6, -25, -152
"d:\HDSP_HYBRID\backend\src\modules\eic\assessment\eic-assessment.controller.ts", "TypeScript", 0, 0, -106, 0, 0, 0, 0, 0, -1, -11, -118
"d:\HDSP_HYBRID\backend\src\modules\eic\assessment\eic-assessment.service.ts", "TypeScript", 0, 0, -223, 0, 0, 0, 0, 0, -21, -41, -285
"d:\HDSP_HYBRID\backend\src\modules\eic\common\enums\assessment-status.enum.ts", "TypeScript", 0, 0, -39, 0, 0, 0, 0, 0, 0, -7, -46
"d:\HDSP_HYBRID\backend\src\modules\eic\common\enums\discipline.enum.ts", "TypeScript", 0, 0, -16, 0, 0, 0, 0, 0, 0, -2, -18
"d:\HDSP_HYBRID\backend\src\modules\eic\common\enums\enrollment-status.enum.ts", "TypeScript", 0, 0, -7, 0, 0, 0, 0, 0, 0, -1, -8
"d:\HDSP_HYBRID\backend\src\modules\eic\discharge\eic-discharge.controller.ts", "TypeScript", 0, 0, -93, 0, 0, 0, 0, 0, 0, -9, -102
"d:\HDSP_HYBRID\backend\src\modules\eic\discharge\eic-discharge.service.ts", "TypeScript", 0, 0, -153, 0, 0, 0, 0, 0, -13, -29, -195
"d:\HDSP_HYBRID\backend\src\modules\eic\discipline-assignment\dto\create-discipline-assignment.dto.ts", "TypeScript", 0, 0, -16, 0, 0, 0, 0, 0, 0, -6, -22
"d:\HDSP_HYBRID\backend\src\modules\eic\discipline-assignment\eic-discipline-assignment.controller.ts", "TypeScript", 0, 0, -57, 0, 0, 0, 0, 0, 0, -6, -63
"d:\HDSP_HYBRID\backend\src\modules\eic\discipline-assignment\eic-discipline-assignment.service.ts", "TypeScript", 0, 0, -121, 0, 0, 0, 0, 0, -29, -17, -167
